PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,ZHVI_3bedroom,ZHVI_BottomTier,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier
29.84,59.95,153600.0,110900.0,125300.0,125300.0,193100.0
29.84,59.95,153300.0,110900.0,124800.0,124800.0,195800.0
29.84,59.95,152900.0,110900.0,122300.0,122300.0,199700.0
29.84,59.95,153500.0,110900.0,120200.0,120200.0,203900.0
29.84,59.95,155100.0,110900.0,121300.0,121300.0,204700.0
29.84,59.95,156400.0,110900.0,124800.0,124800.0,202200.0
29.84,59.95,156500.0,110900.0,126600.0,126600.0,198600.0
29.84,59.95,157000.0,110900.0,127500.0,127500.0,198000.0
29.84,59.95,157100.0,110900.0,128600.0,128600.0,198900.0
29.84,59.95,155500.0,110900.0,129900.0,129900.0,199300.0
